animal_id,file,status,beats,HR_bpm,base_start,base_end,duration_s,rule_used,ecg_column,inverted,start_annotation,end_annotation
109,2024_11_01_109.txt,FAILED_PEAKS,2,1000.0,2591854,2651854,60.0,C_long_baseline,3,False,#*       15 min baseline start,#1       15 min baseline end
120,2024_11_14_120.txt,FAILED_PEAKS,0,,29899,47249,17.35,A_same_*,3,False,#* ecg baseline,#* ecg baseline end
107,2024_11_01_107.txt,NEEDS_REVIEW,63,140.2926534922311,303059,333059,30.0,D_single_30s,3,False,#* ecg,
111,2024_11_13_111.txt,NEEDS_REVIEW,67,263.59581974306064,266349,281449,15.1,A_same_*,3,False,#* ecg baseline,#* ecg baseline end
112,2024_11_13_112.txt,NEEDS_REVIEW,49,175.3638190342812,37449,54799,17.35,A_same_*,3,True,#* ecg baseline,#* ecg baseline end
113,2024_11_13_113.txt,NEEDS_REVIEW,19,85.20710059171599,108599,122249,13.65,A_same_*,3,True,#* ecgbaseline,#* ecgbaseline end
114,2024_11_114.txt,NEEDS_REVIEW,28,265.79163248564396,37599,54099,16.5,A_same_*,3,False,#* ecg baseline,#* ecg baseline end
121,2024_11_14_121.txt,NEEDS_REVIEW,29,135.69178580082385,53999,67499,13.5,A_same_*,3,False,#* ecg baseline,#* ecg baseline end
101,2024_11_01_101.txt,OK,184,367.4944775420042,472364,502364,30.0,D_single_30s,3,True,#1 ecg,
102,2024_11_01_102.txt,OK,128,437.3027259684361,83509,113509,30.0,D_single_30s,3,True,#* ecg,
105,2024_11_01_105.txt,OK,289,448.66801682505064,69099,107949,38.85,A_same_3,3,False,#3 ecg baseline 2,#3 ecg baseline 2 done
106,2024_11_01_106.txt,OK,246,493.0238797960826,24999,54999,30.0,D_single_30s,3,False,#* ecg,
108,2024_11_01_108.txt,OK,228,454.86424205991386,133649,163649,30.0,D_single_30s,3,False,#* baseline ecg,
115,2024_11_13_115.txt,OK,295,329.3379634815728,66804,121014,54.21,A_same_*,3,False,#* ecg baseline,#* ecg baseline end
116,2024_11_14_116.txt,OK,105,530.5220200646149,38804,50804,12.0,A_same_*,3,False,#* ecg baseline,#* ecg baseline end
117,2024_11_14_117.txt,OK,131,386.7512891709639,36349,56699,20.35,B_cross,3,False,#* ecg baseline,#2 ecg baseline end
119,2024_11_01_119.txt,OK,250,583.0243902439024,64349,90049,25.7,A_same_*,3,False,#* ecg baseline,#* ecg baseline end
122,2024_11_14_122.txt,OK,132,551.656372824256,27249,41599,14.35,A_same_*,3,False,#* ecg start,#* ecg stop
123,2024_11 _14_123.txt,OK,308,507.5638588079689,82849,119249,36.4,A_same_*,3,False,#* ecg start,#* ecg end
124,2024_11_13_124.txt,OK,130,489.0686212561607,25349,41249,15.9,A_same_*,1,False,#* ecg baseline,#* ecg baseline stop
125,2024 11 14 125.txt,OK,94,500.3586800573888,18099,29299,11.2,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
126,2024_11_15_126.txt,OK,162,326.35135135135135,48449,78449,30.0,D_single_30s,1,False,#* ecg baseline,
127,2024_11_15_127.txt,OK,115,559.7839430395286,178449,190949,12.5,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
128,2024_11_15_128.txt,OK,144,553.5483870967743,25155,40705,15.55,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
129,2024_11_15_129.txt,OK,130,534.8628291064888,50699,65199,14.5,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
130,2024 11 15 130.txt,OK,567,518.5841248511132,20799,86299,65.5,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
131,2024_11_18_131.txt,OK,233,469.8099834621485,23249,53249,30.0,D_single_30s,1,False,#* ecg baseline,
132,2024_11_18_132.txt,OK,110,565.7439446366782,154399,166049,11.65,A_same_*,1,False,#* baseline,#* baseline end
133,2024_11_18_133.txt,OK,280,557.2569906790945,36699,66899,30.2,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
134,2024_11_18_134.txt,OK,897,614.3017117261238,255199,342799,87.6,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
135,2024_11_18_135.txt,OK,175,514.9960536700868,78449,98849,20.4,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
136,2024_11_18_136.txt,OK,297,595.6932984503925,61799,91799,30.0,D_single_30s,1,False,#* ecg baseline,
137,2024_11_18_137.txt,OK,170,569.9190647482014,41149,58999,17.85,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
138,2024_11_18_138.txt,OK,152,530.6313693334895,46649,63799,17.15,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
139,2024_11_18_139.txt,OK,324,603.3999626377732,29299,61499,32.2,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
140,2024_11_18_140.txt,OK,159,574.4062045564712,74849,91499,16.65,A_same_*,1,True,#* baseline,#* baseline end
141,2024_11_18_141.txt,OK,635,489.60049423393735,25099,102949,77.85,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
142,2024_11_18_142.txt,OK,170,517.0303895574139,22099,41749,19.65,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
143,2024_11_19_143.txt,OK,271,553.5433608966035,41899,71299,29.4,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
144,2024_11_19_144.txt,OK,758,585.0378690298315,31349,109099,77.75,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
145,2024_11_19_145.txt,OK,133,442.6559356136821,13349,31349,18.0,A_same_*,1,False,#* ecg baseline,#* ecg baseline end
